"mz","intensity","filename"
50,287,"MMCP unknown-52 related 1"
74,260,"MMCP unknown-52 related 1"
75,647,"MMCP unknown-52 related 1"
86,127,"MMCP unknown-52 related 1"
113,218,"MMCP unknown-52 related 1"
120,484,"MMCP unknown-52 related 1"
134,999,"MMCP unknown-52 related 1"
138,153,"MMCP unknown-52 related 1"
139,582,"MMCP unknown-52 related 1"
140,169,"MMCP unknown-52 related 1"
150,242,"MMCP unknown-52 related 1"
151,294,"MMCP unknown-52 related 1"
154,195,"MMCP unknown-52 related 1"
186,359,"MMCP unknown-52 related 1"
207,137,"MMCP unknown-52 related 1"
208,69,"MMCP unknown-52 related 1"
236,215,"MMCP unknown-52 related 1"
239,227,"MMCP unknown-52 related 1"
249,307,"MMCP unknown-52 related 1"
259,23,"MMCP unknown-52 related 1"
266,71,"MMCP unknown-52 related 1"
271,71,"MMCP unknown-52 related 1"
277,683,"MMCP unknown-52 related 1"
278,107,"MMCP unknown-52 related 1"
279,370,"MMCP unknown-52 related 1"
280,49,"MMCP unknown-52 related 1"
282,38,"MMCP unknown-52 related 1"
284,34,"MMCP unknown-52 related 1"
292,19,"MMCP unknown-52 related 1"
294,21,"MMCP unknown-52 related 1"
308,37,"MMCP unknown-52 related 1"
309,611,"MMCP unknown-52 related 1"
310,145,"MMCP unknown-52 related 1"
311,514,"MMCP unknown-52 related 1"
312,116,"MMCP unknown-52 related 1"
313,90,"MMCP unknown-52 related 1"
320,11,"MMCP unknown-52 related 1"
323,21,"MMCP unknown-52 related 1"
325,41,"MMCP unknown-52 related 1"
340,46,"MMCP unknown-52 related 1"
352,21,"MMCP unknown-52 related 1"
355,87,"MMCP unknown-52 related 1"
366,49,"MMCP unknown-52 related 1"
367,62,"MMCP unknown-52 related 1"
378,24,"MMCP unknown-52 related 1"
379,26,"MMCP unknown-52 related 1"
388,97,"MMCP unknown-52 related 1"
390,70,"MMCP unknown-52 related 1"
395,19,"MMCP unknown-52 related 1"
406,26,"MMCP unknown-52 related 1"
414,14,"MMCP unknown-52 related 1"
433,13,"MMCP unknown-52 related 1"
460,5,"MMCP unknown-52 related 1"
461,11,"MMCP unknown-52 related 1"
462,5,"MMCP unknown-52 related 1"
465,7,"MMCP unknown-52 related 1"
478,12,"MMCP unknown-52 related 1"
484,5,"MMCP unknown-52 related 1"
488,15,"MMCP unknown-52 related 1"
492,4,"MMCP unknown-52 related 1"
510,4,"MMCP unknown-52 related 1"
511,4,"MMCP unknown-52 related 1"
518,3,"MMCP unknown-52 related 1"
540,3,"MMCP unknown-52 related 1"
548,4,"MMCP unknown-52 related 1"
550,6,"MMCP unknown-52 related 1"
558,3,"MMCP unknown-52 related 1"
562,3,"MMCP unknown-52 related 1"
574,3,"MMCP unknown-52 related 1"
594,3,"MMCP unknown-52 related 1"
595,2,"MMCP unknown-52 related 1"
596,6,"MMCP unknown-52 related 1"
600,3,"MMCP unknown-52 related 1"
614,4,"MMCP unknown-52 related 1"
622,5,"MMCP unknown-52 related 1"
627,4,"MMCP unknown-52 related 1"
628,7,"MMCP unknown-52 related 1"
629,4,"MMCP unknown-52 related 1"
630,2,"MMCP unknown-52 related 1"
635,3,"MMCP unknown-52 related 1"
636,4,"MMCP unknown-52 related 1"
642,5,"MMCP unknown-52 related 1"
644,3,"MMCP unknown-52 related 1"
647,4,"MMCP unknown-52 related 1"
648,5,"MMCP unknown-52 related 1"
649,5,"MMCP unknown-52 related 1"
654,2,"MMCP unknown-52 related 1"
658,4,"MMCP unknown-52 related 1"
659,2,"MMCP unknown-52 related 1"
662,2,"MMCP unknown-52 related 1"
663,2,"MMCP unknown-52 related 1"
664,3,"MMCP unknown-52 related 1"
666,5,"MMCP unknown-52 related 1"
667,2,"MMCP unknown-52 related 1"
670,4,"MMCP unknown-52 related 1"
674,2,"MMCP unknown-52 related 1"
678,4,"MMCP unknown-52 related 1"
679,3,"MMCP unknown-52 related 1"
685,3,"MMCP unknown-52 related 1"
688,5,"MMCP unknown-52 related 1"
689,4,"MMCP unknown-52 related 1"
691,4,"MMCP unknown-52 related 1"
696,4,"MMCP unknown-52 related 1"
704,4,"MMCP unknown-52 related 1"
705,2,"MMCP unknown-52 related 1"
706,5,"MMCP unknown-52 related 1"
707,3,"MMCP unknown-52 related 1"
709,2,"MMCP unknown-52 related 1"
710,5,"MMCP unknown-52 related 1"
711,2,"MMCP unknown-52 related 1"
712,4,"MMCP unknown-52 related 1"
718,4,"MMCP unknown-52 related 1"
721,5,"MMCP unknown-52 related 1"
723,6,"MMCP unknown-52 related 1"
724,2,"MMCP unknown-52 related 1"
725,3,"MMCP unknown-52 related 1"
726,4,"MMCP unknown-52 related 1"
727,4,"MMCP unknown-52 related 1"
728,2,"MMCP unknown-52 related 1"
734,4,"MMCP unknown-52 related 1"
735,2,"MMCP unknown-52 related 1"
737,3,"MMCP unknown-52 related 1"
739,4,"MMCP unknown-52 related 1"
741,7,"MMCP unknown-52 related 1"
742,2,"MMCP unknown-52 related 1"
743,4,"MMCP unknown-52 related 1"
748,4,"MMCP unknown-52 related 1"
754,2,"MMCP unknown-52 related 1"
756,5,"MMCP unknown-52 related 1"
757,3,"MMCP unknown-52 related 1"
759,4,"MMCP unknown-52 related 1"
766,4,"MMCP unknown-52 related 1"
769,4,"MMCP unknown-52 related 1"
770,2,"MMCP unknown-52 related 1"
773,4,"MMCP unknown-52 related 1"
774,3,"MMCP unknown-52 related 1"
775,5,"MMCP unknown-52 related 1"
779,3,"MMCP unknown-52 related 1"
782,2,"MMCP unknown-52 related 1"
785,3,"MMCP unknown-52 related 1"
786,2,"MMCP unknown-52 related 1"
787,2,"MMCP unknown-52 related 1"
794,3,"MMCP unknown-52 related 1"
797,4,"MMCP unknown-52 related 1"
800,3,"MMCP unknown-52 related 1"
802,3,"MMCP unknown-52 related 1"
809,3,"MMCP unknown-52 related 1"
810,4,"MMCP unknown-52 related 1"
817,3,"MMCP unknown-52 related 1"
818,3,"MMCP unknown-52 related 1"
819,2,"MMCP unknown-52 related 1"
823,2,"MMCP unknown-52 related 1"
829,2,"MMCP unknown-52 related 1"
835,3,"MMCP unknown-52 related 1"
837,2,"MMCP unknown-52 related 1"
839,3,"MMCP unknown-52 related 1"
840,3,"MMCP unknown-52 related 1"
844,3,"MMCP unknown-52 related 1"
845,2,"MMCP unknown-52 related 1"
850,2,"MMCP unknown-52 related 1"
851,4,"MMCP unknown-52 related 1"
852,4,"MMCP unknown-52 related 1"
853,2,"MMCP unknown-52 related 1"
856,3,"MMCP unknown-52 related 1"
867,4,"MMCP unknown-52 related 1"
869,2,"MMCP unknown-52 related 1"
882,3,"MMCP unknown-52 related 1"
883,3,"MMCP unknown-52 related 1"
885,4,"MMCP unknown-52 related 1"
887,3,"MMCP unknown-52 related 1"
892,2,"MMCP unknown-52 related 1"
893,5,"MMCP unknown-52 related 1"
897,4,"MMCP unknown-52 related 1"
899,2,"MMCP unknown-52 related 1"
917,2,"MMCP unknown-52 related 1"
919,5,"MMCP unknown-52 related 1"
924,2,"MMCP unknown-52 related 1"
930,2,"MMCP unknown-52 related 1"
940,3,"MMCP unknown-52 related 1"
941,3,"MMCP unknown-52 related 1"
942,3,"MMCP unknown-52 related 1"
982,4,"MMCP unknown-52 related 1"
989,2,"MMCP unknown-52 related 1"
992,4,"MMCP unknown-52 related 1"
995,3,"MMCP unknown-52 related 1"
50,531,"MMCP unknown-6 related 1"
151,652,"MMCP unknown-6 related 1"
162,273,"MMCP unknown-6 related 1"
184,900,"MMCP unknown-6 related 1"
186,385,"MMCP unknown-6 related 1"
201,499,"MMCP unknown-6 related 1"
206,264,"MMCP unknown-6 related 1"
207,393,"MMCP unknown-6 related 1"
209,476,"MMCP unknown-6 related 1"
218,388,"MMCP unknown-6 related 1"
219,465,"MMCP unknown-6 related 1"
220,264,"MMCP unknown-6 related 1"
235,214,"MMCP unknown-6 related 1"
239,330,"MMCP unknown-6 related 1"
240,254,"MMCP unknown-6 related 1"
244,130,"MMCP unknown-6 related 1"
245,125,"MMCP unknown-6 related 1"
250,289,"MMCP unknown-6 related 1"
254,973,"MMCP unknown-6 related 1"
256,999,"MMCP unknown-6 related 1"
257,246,"MMCP unknown-6 related 1"
258,350,"MMCP unknown-6 related 1"
264,293,"MMCP unknown-6 related 1"
270,179,"MMCP unknown-6 related 1"
272,26,"MMCP unknown-6 related 1"
274,239,"MMCP unknown-6 related 1"
275,122,"MMCP unknown-6 related 1"
277,284,"MMCP unknown-6 related 1"
279,546,"MMCP unknown-6 related 1"
289,85,"MMCP unknown-6 related 1"
291,177,"MMCP unknown-6 related 1"
293,68,"MMCP unknown-6 related 1"
295,184,"MMCP unknown-6 related 1"
303,219,"MMCP unknown-6 related 1"
305,553,"MMCP unknown-6 related 1"
306,174,"MMCP unknown-6 related 1"
307,610,"MMCP unknown-6 related 1"
308,132,"MMCP unknown-6 related 1"
309,326,"MMCP unknown-6 related 1"
310,124,"MMCP unknown-6 related 1"
311,167,"MMCP unknown-6 related 1"
312,65,"MMCP unknown-6 related 1"
334,13,"MMCP unknown-6 related 1"
335,20,"MMCP unknown-6 related 1"
346,83,"MMCP unknown-6 related 1"
349,23,"MMCP unknown-6 related 1"
353,112,"MMCP unknown-6 related 1"
359,38,"MMCP unknown-6 related 1"
365,18,"MMCP unknown-6 related 1"
368,313,"MMCP unknown-6 related 1"
369,261,"MMCP unknown-6 related 1"
370,633,"MMCP unknown-6 related 1"
371,214,"MMCP unknown-6 related 1"
372,341,"MMCP unknown-6 related 1"
373,140,"MMCP unknown-6 related 1"
380,25,"MMCP unknown-6 related 1"
381,28,"MMCP unknown-6 related 1"
387,60,"MMCP unknown-6 related 1"
397,38,"MMCP unknown-6 related 1"
398,102,"MMCP unknown-6 related 1"
401,46,"MMCP unknown-6 related 1"
403,80,"MMCP unknown-6 related 1"
405,48,"MMCP unknown-6 related 1"
415,53,"MMCP unknown-6 related 1"
417,30,"MMCP unknown-6 related 1"
444,68,"MMCP unknown-6 related 1"
448,33,"MMCP unknown-6 related 1"
456,16,"MMCP unknown-6 related 1"
469,15,"MMCP unknown-6 related 1"
480,56,"MMCP unknown-6 related 1"
481,36,"MMCP unknown-6 related 1"
488,43,"MMCP unknown-6 related 1"
489,20,"MMCP unknown-6 related 1"
490,15,"MMCP unknown-6 related 1"
495,26,"MMCP unknown-6 related 1"
498,13,"MMCP unknown-6 related 1"
505,21,"MMCP unknown-6 related 1"
511,10,"MMCP unknown-6 related 1"
512,18,"MMCP unknown-6 related 1"
523,16,"MMCP unknown-6 related 1"
533,13,"MMCP unknown-6 related 1"
